ISIN,Mkt-RF_Alpha 1,Mkt-RF_Beta 1,Mkt-RF_R2 1,Mkt-RF_Alpha p-value 1,Mkt-RF_Beta p-value 1,Mkt-RF_Alpha t-value 1,Mkt-RF_Beta t-value 1,Mkt-RF_Alpha t-value adjusted 1,Mkt-RF_Beta t-value adjusted 1,SMB_Alpha 1,SMB_Beta 1,SMB_R2 1,SMB_Alpha p-value 1,SMB_Beta p-value 1,SMB_Alpha t-value 1,SMB_Beta t-value 1,SMB_Alpha t-value adjusted 1,SMB_Beta t-value adjusted 1,HML_Alpha 1,HML_Beta 1,HML_R2 1,HML_Alpha p-value 1,HML_Beta p-value 1,HML_Alpha t-value 1,HML_Beta t-value 1,HML_Alpha t-value adjusted 1,HML_Beta t-value adjusted 1,MOM_Alpha 1,MOM_Beta 1,MOM_R2 1,MOM_Alpha p-value 1,MOM_Beta p-value 1,MOM_Alpha t-value 1,MOM_Beta t-value 1,MOM_Alpha t-value adjusted 1,MOM_Beta t-value adjusted 1,Excess Return 1,Standard Deviation 1,Up Market Capture Ratio 1,Down Market Capture Ratio 1,Mkt-RF_Alpha 3,Mkt-RF_Beta 3,Mkt-RF_R2 3,Mkt-RF_Alpha p-value 3,Mkt-RF_Beta p-value 3,Mkt-RF_Alpha t-value 3,Mkt-RF_Beta t-value 3,Mkt-RF_Alpha t-value adjusted 3,Mkt-RF_Beta t-value adjusted 3,SMB_Alpha 3,SMB_Beta 3,SMB_R2 3,SMB_Alpha p-value 3,SMB_Beta p-value 3,SMB_Alpha t-value 3,SMB_Beta t-value 3,SMB_Alpha t-value adjusted 3,SMB_Beta t-value adjusted 3,HML_Alpha 3,HML_Beta 3,HML_R2 3,HML_Alpha p-value 3,HML_Beta p-value 3,HML_Alpha t-value 3,HML_Beta t-value 3,HML_Alpha t-value adjusted 3,HML_Beta t-value adjusted 3,MOM_Alpha 3,MOM_Beta 3,MOM_R2 3,MOM_Alpha p-value 3,MOM_Beta p-value 3,MOM_Alpha t-value 3,MOM_Beta t-value 3,MOM_Alpha t-value adjusted 3,MOM_Beta t-value adjusted 3,Excess Return 3,Standard Deviation 3,Up Market Capture Ratio 3,Down Market Capture Ratio 3,Mkt-RF_Alpha 5,Mkt-RF_Beta 5,Mkt-RF_R2 5,Mkt-RF_Alpha p-value 5,Mkt-RF_Beta p-value 5,Mkt-RF_Alpha t-value 5,Mkt-RF_Beta t-value 5,Mkt-RF_Alpha t-value adjusted 5,Mkt-RF_Beta t-value adjusted 5,SMB_Alpha 5,SMB_Beta 5,SMB_R2 5,SMB_Alpha p-value 5,SMB_Beta p-value 5,SMB_Alpha t-value 5,SMB_Beta t-value 5,SMB_Alpha t-value adjusted 5,SMB_Beta t-value adjusted 5,HML_Alpha 5,HML_Beta 5,HML_R2 5,HML_Alpha p-value 5,HML_Beta p-value 5,HML_Alpha t-value 5,HML_Beta t-value 5,HML_Alpha t-value adjusted 5,HML_Beta t-value adjusted 5,MOM_Alpha 5,MOM_Beta 5,MOM_R2 5,MOM_Alpha p-value 5,MOM_Beta p-value 5,MOM_Alpha t-value 5,MOM_Beta t-value 5,MOM_Alpha t-value adjusted 5,MOM_Beta t-value adjusted 5,Excess Return 5,Standard Deviation 5,Up Market Capture Ratio 5,Down Market Capture Ratio 5
IE0033535075,-2.5225242351563517e-05,0.6168886321714824,0.43042074825478915,0.9444270547394599,2.1262170997545532e-32,-0.06977684914013328,13.74483475722851,-1.7001332146917568e-06,0.6168879701061043,0.000748038917505212,-0.21897431495180003,0.021231608512089384,0.11249973372442214,0.020670518521185705,1.5926613604881972,-2.3287425863372295,0.0005959000592638618,-0.1976422389982773,0.0007518576126540057,-0.510902382057666,0.1952015145308027,0.07834067288338968,1.8253658154153688e-13,1.7676415452466574,-7.786961376641291,0.0006234890636371592,-0.5106903001745655,0.0005858955503082,0.321120166140742,0.13843279520377794,0.18451778207776653,1.0787576592267599e-09,1.3306464158782827,6.337893231039152,0.00043103963343895914,0.32055241825879516,-0.11807203593138972,0.00751020905815232,0.8675379510469531,0.9907102029177768,0.0002863047902004052,0.5755136482433676,0.47739201022238553,0.214982093050743,2.3736418212776628e-108,1.2410260617055509,26.244313897173992,0.00020353767015204312,0.5755136482410645,0.0004298156616384111,-0.5057926921931277,0.0920360638740767,0.15778508088697651,1.470616325570155e-17,1.4139644891577494,-8.74239433474699,0.00032529425133031415,-0.5057119317055858,0.00032845768230840215,-0.5960873803223106,0.1703802407167937,0.258979555175921,1.8283654514388766e-32,1.1296581223775977,-12.44387795543677,0.00022231864723653354,-0.5960850306765159,0.00034838376081724695,0.327685505618162,0.079574411629868,0.2558814909030401,2.6918378362631982e-15,1.137043087378451,8.073801152938762,0.00023663406116986458,0.32758339992848545,0.1138905188071039,0.008761339178636649,0.8383290603453064,0.7749804969780285,0.00034973843109570193,0.5710923311356342,0.44685853157788324,0.028613421965991582,5.895003792560447e-164,2.191293512393453,31.87918708686148,0.00031064744041898383,0.571092331135626,0.00044197143777566423,-0.4688368884441829,0.07857928583258089,0.032139400730983834,3.503252554383101e-24,2.145055839980089,-10.357748787861974,0.0003902335982462896,-0.46882200482219066,0.0005022947997504784,-0.5316309771370848,0.1305900821999506,0.012138396502056267,3.6648845205207904e-40,2.51173398323475,-13.7462147101907,0.0004615449067229604,-0.5316304073598637,0.00042711193412914023,0.35116807447040965,0.08263762501548755,0.038005500077644284,2.127747219980146e-25,2.0769849262215785,10.645321257030346,0.00037359162490832094,0.3511597124591835,0.2692360279354975,0.0076059721877966375,0.8860269016437773,0.7947091969315387
IE00BWGC5R57,0.0005800937283197451,0.5901961584215933,0.27603359105982916,0.23464877144397278,2.7697960096353767e-19,1.1913429717671047,9.763190515123794,0.00040385372536339047,0.5901622039784903,0.001283925243847562,-0.0769640660420062,0.0018376469040255472,0.024318862231604812,0.49813113246971763,2.265808078950342,-0.6784228156593892,0.0011507229229244576,-0.03791121738888522,0.0013466265864278187,-0.6751628348556977,0.23884375973227878,0.006885533754270187,1.55731142048521e-16,2.724941669095329,-8.857069401302978,0.001258355178407422,-0.6750667107834479,0.0011139740086636226,0.466046763636222,0.20429245927322592,0.02846560205648225,4.316391304439558e-14,2.203586622158047,8.011603280198967,0.000990984080580535,0.4658922259517518,0.026684819332312447,0.008972371947807188,1.0788755548792646,1.0731628300272973,0.0004980159562878638,0.6654911758966614,0.35630153768446027,0.14658285045844954,3.626282565789999e-74,1.4532051660501601,20.42929056441591,0.00038157003722179793,0.6654911750037381,0.0006665114149468134,-0.5529818104382003,0.06140501344525906,0.10755933490545591,4.840879570060412e-12,1.6111784469537405,-7.023417304093215,0.0005334409473826428,-0.552489227384498,0.0005104639567781165,-0.8418908772302659,0.1897056133938967,0.1848452318348343,2.3988176220565204e-36,1.327197079769894,-13.286309002960051,0.0003750789053180193,-0.8418894480562268,0.0005185936649318866,0.5166343662815798,0.11040652952640129,0.19874652577364393,6.05800189430973e-21,1.2862618125962253,9.6735806989276,0.0003753053419891688,0.516601857508869,0.2956827310502582,0.011727205345213251,1.1109434501185291,1.0061315198949492,0.00047916278783809114,0.6296699242138843,0.33156832461780117,0.03306380436864881,3.5637036062103886e-112,2.1336576904045703,24.98033895892387,0.0004224282760760387,0.6296699242049659,0.0005827924064234788,-0.5067186162790828,0.056025789480455,0.029202219108859655,1.667690879530044e-17,2.1832429784143708,-8.640805874755722,0.0005171259612974177,-0.5066290565957179,0.0006395677489309128,-0.7311035063618525,0.15074298440788436,0.011590702615425713,1.3384289041141604e-46,2.528070072799217,-14.943051855351003,0.0005885219890460107,-0.7311032696097179,0.0005310756321898057,0.5001849753628582,0.10232901563896746,0.041594187755202336,2.263352506553302e-31,2.0396457736840565,11.975154491681415,0.00046199608689779495,0.5001818248074164,0.4557241813842846,0.00973652914869099,1.0781878177444812,0.958770397426359
LU0056508442,0.0005695502346877982,0.6560978025863742,0.12758201283142456,0.5152306819238834,5.359650007503169e-09,0.6516420883245011,6.0464772559366216,0.0002727067836125195,0.6545453552519044,0.001247576633041704,0.2990565328801531,0.010377094043169555,0.1775164079295724,0.10668708059548099,1.3522528043225979,1.6190975332911375,0.0009248823281138638,0.23982019936691107,0.0014673977933838008,-1.1198546652950543,0.24575551614159918,0.0693105331579929,4.910927830790597e-17,1.8242328594611212,-9.025381538816315,0.0012306458257481997,-1.1197199278635281,0.0010640523424831814,0.8275879413120362,0.24093769768523576,0.18872806127106587,1.098981938543709e-16,1.3179460680650883,8.908071017307613,0.0007792219768692508,0.8274759748212894,0.043244778375511994,0.01467120267275788,1.6395544317185327,1.8616463602667688,0.0007745732701184024,0.8622480529823103,0.3317681771337919,0.09892577389735445,5.0012735055321755e-68,1.6521232156758678,19.348150604533632,0.000626132051920267,0.8622480495716601,0.0010126671352386181,-0.46887694651727396,0.02448708488861917,0.07412665160711991,1.5453793325712522e-05,1.7883147757242235,-4.350485290249734,0.0008433068888793189,-0.46282817576711377,0.0008090106907074153,-1.0138177955240903,0.15258982780024788,0.1259775648074193,5.748154018137716e-29,1.5318553870624179,-11.652030907387541,0.0006341557456839976,-1.0138089739276956,0.0008456110336281913,0.5500340817756181,0.0694135992005197,0.12711934346615436,1.8041685542226207e-13,1.5272454729008,7.49945328193597,0.0006620010213411738,0.5497297001564915,0.5522965218100389,0.015748462934645848,1.6720854265396101,1.5285657280235998,0.000840361656582776,0.8567628678005661,0.31839926964985465,0.007709172342712107,7.765908768332477e-107,2.6688441068755786,24.241602656033635,0.0007820974334929998,0.8567628677751642,0.0010161624209860907,-0.5060215695050556,0.028979839765164384,0.006961207410278311,1.1930678607330072e-09,2.703143411825356,-6.127371145319214,0.0009480850364028948,-0.5049172733695808,0.0010642099366470286,-0.8908449170933244,0.11608797743460908,0.003038474321403317,1.2832776231303447e-35,2.9695916999360534,-12.853737379196426,0.001009590147297614,-0.8908425863476293,0.0009322261000112786,0.6087511265842475,0.07861777061573583,0.011042251314712717,3.411594886357695e-24,2.545130990105812,10.360501233892668,0.000859081054712086,0.6087318543856519,1.0016038055541843,0.013521445830763243,1.683983705157685,1.4879299077868173
LU0070992663,0.0005820309889063345,0.6555009948901963,0.19737099482727039,0.38824536612649907,1.2956936694130907e-13,0.8643114148831647,7.840689296109997,0.00033679713109088024,0.6552431222542697,0.0013241845837000902,0.06025415529173746,0.0006528711923641239,0.0766015796276477,0.686459561455078,1.778107605658245,0.4041341706723544,0.0011004535618988397,0.020031219829537046,0.0014442443589848001,-0.8376179214676933,0.21308663228324087,0.029573214742267786,1.0543255128799421e-14,2.1883050908631807,-8.227817416191828,0.0012823350369575587,-0.8373941780545333,0.0011498206144583772,0.5962916187452416,0.19385553022360802,0.08659011679085084,2.2568965488777116e-13,1.7204385991916162,7.753586963550266,0.0009440169513564002,0.5960356902331017,0.04621589931437765,0.011784836139859726,1.3522925831432373,1.4399090450505092,0.0005158539411934483,0.8103022928551922,0.3729625331591483,0.20040656535374043,1.802866725735861e-78,1.2815156274270498,21.17734589284942,0.0003726445206496774,0.8103022923406243,0.0007344664605457328,-0.5049332669451525,0.03614831717809153,0.14138944532707276,1.3859773772835392e-07,1.472180356605698,-5.317709517548974,0.0005659617045325116,-0.5024570876675739,0.0005822543685643641,-0.809623530931042,0.12387189890417938,0.22159144430553948,1.8223869282744066e-23,1.2233189091413343,-10.3249573279187,0.00041092488578289187,-0.809596971967142,0.0006290578486864185,0.39198463140920814,0.04487497617839775,0.20617146358325344,4.058298283548515e-09,1.265253140802787,5.951928106234004,0.0004515579423978649,0.3909651495396649,0.344154613496061,0.013958156949797145,1.4330799263101446,1.345253278267716,0.0005697979128085569,0.7998560419534977,0.34014113030868687,0.04194445774841472,1.047692211909634e-115,2.0361495662600815,25.46504022023279,0.0004954219958404776,0.7998560419465205,0.0007214032293552997,-0.5384090423427474,0.04021307753855807,0.03279097780274732,6.759691753843073e-13,2.136992994889046,-7.259999020470739,0.0006362710372137609,-0.5380304822478226,0.000785431053357784,-0.7080339657343262,0.08988265991865019,0.016937173389060107,1.3931900591168337e-27,2.3912538094942666,-11.1462706483005,0.000713552432849453,-0.7080237495138758,0.0006889650285380961,0.45529509707195026,0.05390286082505136,0.04007659774943663,6.98117666653074e-17,2.0550881749203946,8.466001939575309,0.0006007213256434235,0.45519925525300897,0.6379478301075949,0.012212889045510539,1.4790431393717123,1.3597981273634803
LU0107464264,0.0008102398568512814,0.43411674416976526,0.09823002121531066,0.2277321504401663,3.791301300488593e-07,1.209190019223628,5.218482564658841,0.0005684327560489702,0.4317657673046819,0.0011505252006784904,0.5970253794655973,0.07273335677129611,0.08878929483150418,1.4207642217903928e-05,1.7084756196560589,4.42827416792345,0.000942117097134897,0.5898998398683563,0.0014084644051722418,-0.7744917813134125,0.20672474015760167,0.02441997112035079,2.927168539640556e-14,2.264184666989389,-8.07150047562509,0.0012621042136727173,-0.7742498964476693,0.0011347260756121758,0.5560535418381886,0.19128836322959797,0.07216060808765415,3.379851563787411e-13,1.805747354183257,7.689842302757701,0.0009482320501470221,0.5557991749760458,0.039168886526426465,0.011063085695609579,1.3035510604014537,1.3800574211559304,0.0006126088240295041,0.7144208292186165,0.3155164114388559,0.12904157745477257,4.407861678598453e-64,1.5195568801959767,18.64297125450143,0.0004785646076737451,0.7144208234983723,0.0008302660420730157,-0.1333644950053485,0.00274437359402957,0.08827324501542445,0.1501497350826074,1.7067877483549048,-1.4404694143726304,0.0006796161673959997,-0.10178157307363331,0.0006584761435429457,-0.7671211278479162,0.1210255616316589,0.15002792465450487,6.26094201367495e-23,1.440900507514097,-10.189106544668233,0.0005026052927978784,-0.7670923013956403,0.0007135904327979959,0.3424474425835575,0.03727319942568519,0.13628228311094767,8.796700764739261e-08,1.4913712678152156,5.402969033491209,0.0005529870433161611,0.3409053363592534,0.39413634330552283,0.013379836669354803,1.3633065720322022,1.2478112482482995,0.0005302126334455787,0.7031700620688157,0.3100043733833361,0.04442346867154897,1.7374501373764653e-103,2.012088350583166,23.773934501256715,0.0004593183522111372,0.7031700620355366,0.0007178907002275538,-0.1865385341573932,0.005692346470043019,0.023442940065557777,0.0073779138958421425,2.268904202089068,-2.683648254929689,0.0006436425304977042,-0.17379543885153445,0.0007171079273895983,-0.6721091952719929,0.09551223143323984,0.017544233897026727,2.7294563113300744e-29,2.378237750863048,-11.525730677841793,0.0006506221131796987,-0.6721025596963575,0.0006323257188284517,0.40922284163932837,0.05135197926123514,0.041015205010398056,3.887730554432174e-16,2.0454799819186436,8.252135713864913,0.0005505545552996448,0.40911615676196134,0.5494249919503353,0.011246213248556784,1.3170268709752604,1.201940153867426
LU0143563046,0.0004849349773840764,0.6786420536916338,0.2570527342555967,0.410121300747058,7.284946768438367e-18,0.8250649099163556,9.300410630194483,0.00027243329513827145,0.6785800348354707,0.0012742002644140073,-0.014661249635412127,4.696772771572988e-05,0.06052713515659446,0.9137948762100728,1.885461298744609,-0.1083627401216432,0.0010808288593072619,-0.0015056802829499201,0.0013588701746900678,-0.7160143225842766,0.18919592359438153,0.026241218103221848,4.693239494590151e-13,2.2359016315478,-7.637793810993156,0.0012136127882087851,-0.7156692821405481,0.0011151709200515989,0.48477128169062844,0.15568207950300372,0.0735043921899762,8.142795565978722e-11,1.7972396642805346,6.789476863877294,0.0009303248732097278,0.4842256437678522,0.02849563715726759,0.010691078356645465,1.2382254724069452,1.3017462640295772,0.0005175470996527166,0.8298984760823898,0.43973692282981636,0.14970028617336253,6.089335526541842e-97,1.4420613651982082,24.32686462192038,0.0003951783322031717,0.8298984760597953,0.0007390721857482179,-0.5468626942600445,0.047659407519799246,0.11451480305680678,1.311975261726469e-09,1.5800499978850584,-6.142764198791911,0.0005868493307193055,-0.5456874998889278,0.0005909413751181543,-0.8065483847031926,0.1381781364160075,0.1848483333570076,3.4816006812231024e-26,1.3271876969972163,-10.995034204348938,0.00043421066360229354,-0.8065348469141435,0.0006317175343858697,0.4062277593854229,0.054172299951252056,0.17624032306346055,9.286402337163143e-11,1.353691905098926,6.571557250217912,0.0004685544122194695,0.40565919644808496,0.3501690791589595,0.013164784628324246,1.3234452229955136,1.2209087496457731,0.0005245979012306778,0.7917656976965093,0.40614005519814245,0.02934328482001523,1.5646964825655043e-144,2.1813349965701696,29.331631182563584,0.0004653756657828901,0.7917656976963647,0.0006735038946063173,-0.5391096138744288,0.049129658087010974,0.02709987940616304,1.730643452301089e-15,2.2126635148642633,-8.06216237074353,0.0005998166093822761,-0.5389396625917113,0.0007383103432363721,-0.696033516845413,0.10584613530715903,0.012428094458750519,1.8841768110920565e-32,2.503355966480611,-12.203142826701427,0.0006779091845070603,-0.6960300264666172,0.0006458781839803349,0.4394618504423373,0.06119489525768973,0.03295793781497523,5.052113574404183e-19,2.1349490981753725,9.055453342346027,0.0005695026951295783,0.4394105421261571,0.5777621049199484,0.011062789285091669,1.3021802568519423,1.177112685277637
LU0147408131,0.0005201398265703098,0.6576049630733077,0.12811154306375305,0.5522764890215779,4.958224318459504e-09,0.5951575522635438,6.060851892743228,0.0002332953657715418,0.6560711566591356,0.0011997983990350322,0.2994685229688081,0.010401053738040789,0.19473296091867454,0.10628135283725554,1.3001908386630072,1.620985247402622,0.0008728775851512159,0.24026245322869436,0.0014197591492378834,-1.1200789128221762,0.2457440458107074,0.07885180466814998,4.920383459140244e-17,1.7646017014169477,-9.025102286864046,0.0011766183195328873,-1.1199441107714045,0.001016337103699657,0.8277406128483975,0.24091885533200186,0.20936750242782182,1.1024389920104657e-16,1.258548465326217,8.907612128946726,0.0007276302279121592,0.8276285743009371,0.031232843527894655,0.01467448299750059,1.6320723354824171,1.8694048153254843,0.0007270409087739635,0.8622267739448983,0.33154809966202614,0.12155924018184357,5.664188416049388e-68,1.5500078524813694,19.33854802423379,0.0005727291607324199,0.8622267705014243,0.0009652682880042008,-0.46712069349383456,0.024289064757760048,0.08880905612603042,1.6744653514217958e-05,1.7039146593635937,-4.332419312808401,0.0007896186317016036,-0.460984722383792,0.0007617215895836895,-1.0127663731531364,0.15217999341316735,0.14985232585532535,6.906659040619754e-29,1.4415224313464545,-11.633559705740723,0.0005815231493156275,-1.012757396416415,0.0007986487850952221,0.5484825118684299,0.06898015797334933,0.14981659542979878,2.1569101384890718e-13,1.4416490471190007,7.474261646428205,0.0006097384974324795,0.5481712455023426,0.516356915618204,0.015753302019056593,1.6651450532282341,1.5351007045180194,0.0007928084670662842,0.8562803299232081,0.31799930778365093,0.0119620532330546,1.1238624605126915e-106,2.516921076072971,24.219267285656496,0.0007288227052596251,0.8562803298972471,0.0009690957986160293,-0.5026494147181071,0.028591157084620344,0.010071869201968803,1.54446342671908e-09,2.5772555824408845,-6.0849240244200455,0.0008954617240721294,-0.5015049135122295,0.0010165063882988453,-0.8907945002548534,0.11605972415798615,0.004637836187592705,1.309496233141276e-35,2.8362488094723033,-12.851967726760991,0.0009568931237901638,-0.8907921655130375,0.0008850980870454043,0.6067946474130362,0.07810306886742102,0.01584969687142429,4.863088875937633e-24,2.415631802062817,10.323647930502984,0.0008060491853610201,0.6067747159851863,0.9414939163738244,0.01352232665178608,1.6740401669427742,1.4937853920305546
LU0147408487,0.0005512570911405072,0.6555452659620256,0.12740540063951733,0.5287847720449903,5.500590731240447e-09,0.6307429686178225,6.041679220135,0.00025788013501619803,0.6539866657221851,0.0012285942440191343,0.29924030744316477,0.010392966630255907,0.18410996465384066,0.1064181095510773,1.331888011890577,1.6203483235471385,0.0009042719059447458,0.24004166376001687,0.0014482526620272084,-1.1181373175936609,0.24507579243269373,0.07308340477675461,5.5036112911710543e-17,1.7998911244604787,-9.00883299817313,0.0012088320414999057,-1.1180005419766188,0.0010453654840855543,0.8268199073495593,0.24056280608074054,0.19662693977589735,1.1698310761905285e-16,1.2946747410381634,8.898940710065643,0.0007589489661582843,0.8267070187515599,0.03847378652193431,0.014669003924042046,1.6364917835780102,1.8645959968639225,0.0007556714253843225,0.8616869086032548,0.33146336699368417,0.10743535234189328,5.9421780415721755e-68,1.6117476052954203,19.334851321665553,0.0006048858112703796,0.8616869051491918,0.000993664137370112,-0.46789845790215456,0.024394325828110408,0.07966387720845489,1.6045569172870727e-05,1.7550090121676878,-4.342031045224195,0.0008218539600023748,-0.46181106279831907,0.0007901724740183134,-1.0127962422205137,0.15234078575822274,0.13500645245510765,6.426696043626108e-29,1.4962519525402516,-11.64080796762598,0.000613199100238709,-1.012787330051458,0.0008267498134752278,0.5494425319168347,0.06929089617523643,0.1357592311079716,1.897732353853886e-13,1.4933679065241676,7.492327989137149,0.0006410494882460936,0.5491363034412081,0.5378711547090944,0.015745447760768274,1.6688812325517073,1.5307232009766247,0.0008213087867356768,0.8558396466155123,0.31802703648664465,0.009190803646291046,1.0954373279927166e-106,2.608910112441819,24.220815579356405,0.000760848360644384,0.8558396465896048,0.0009972127609579819,-0.5039334695904402,0.028769530683996458,0.008060457042159113,1.3719179144037503e-09,2.6537559626574945,-6.10443621161381,0.0009270225970671804,-0.5028082164287394,0.0010449093846505437,-0.8900052120868233,0.11598359892111831,0.003596880296342518,1.3828320078034576e-35,2.9170014455443676,-12.847198949785835,0.0009883843290481383,-0.8900028682631406,0.0009132763468244799,0.607411334694758,0.07834935053705272,0.01274947365482229,4.10445307859645e-24,2.4942619668564383,10.341293263303298,0.0008378786636115262,0.6073917319767771,0.9772281780391722,0.013514775229247256,1.6793492235698457,1.4896241277178541
LU0196035553,0.0006308659390767299,0.6423930744364919,0.19325249041649273,0.3463346528643785,2.481742919035704e-13,0.9435028546248215,7.738623846287878,0.0003852938545500086,0.6421132025879828,0.0013577721921767846,0.06054743749221196,0.0006720967808970801,0.06681879515372047,0.6821238311373774,1.8409160711103028,0.4100453629720706,0.0011423317565597147,0.020366938203601668,0.0014757589950046405,-0.8202317175689868,0.2083167450815948,0.025258708461901584,2.2687409178320842e-14,2.250939131416261,-8.11066316046319,0.0013203611488397148,-0.8199853858690895,0.001184506259898414,0.5931074399332065,0.19553040844347302,0.07443936341100402,1.73303928105729e-13,1.791395422095618,7.7951116809576355,0.0009870166674806303,0.5928632322165452,0.054700037153016974,0.011671593642615297,1.3420402570544752,1.4118680117894644,0.0005691275053403282,0.75030654565476,0.31722360280888573,0.17758165309152435,1.7147239431071747e-64,1.3494994159521392,18.716695276840476,0.0004215128674740851,0.7503065400741553,0.0007779027806452687,-0.38807869701415965,0.021182473628444498,0.1237152286303946,5.906210461288566e-05,1.5410867507294237,-4.039458415312549,0.0006113162621551537,-0.38124579325422686,0.0006449732265310661,-0.6892919700222009,0.08906969022985167,0.18602538636371144,5.1104475667289356e-17,1.323635251972061,-8.58633972161946,0.00047330330800130627,-0.6891633219572121,0.0007019635896586434,0.28761999888133616,0.023967418771699722,0.1646059259050937,1.9075696950053648e-05,1.3910984132429371,4.302928675987476,0.0005273137378313287,0.2837288226517027,0.36993445546747805,0.014014267149129145,1.430449398795908,1.3321014174192398,0.0006192508932424046,0.7497218396329941,0.2968959882319693,0.03281008734685539,2.4559078491681174e-98,2.136758607542054,23.047970915412662,0.0005461564825084369,0.7497218395596621,0.0007726366711976837,-0.4451788245927048,0.027313674649493302,0.02361247208328462,3.607540722371458e-09,2.2661340650017348,-5.943523461253373,0.0006925047053462168,-0.4440112219852047,0.0008243447184980725,-0.60834217520895,0.065922261606984,0.013671064933308266,2.0354677720574802e-20,2.469266175112343,-9.422472071109258,0.0007545664504686987,-0.6082929689554192,0.0007495911111159223,0.36368191401900163,0.034169434412686606,0.027580685113324045,3.790004816008214e-11,2.205765598714412,6.671273459066989,0.0006670115443697852,0.36322120739824154,0.6802199447867381,0.01225278509985578,1.4798767448908197,1.3487225029525565
LU0209158467,0.0005814152458903155,0.6559131062684682,0.1975036460852463,0.3888461830105606,1.2687881475789506e-13,0.863215812331424,7.843971898804615,0.0003361722845315987,0.6556559171457335,0.00132412194492156,0.059973298713623585,0.0006464206997349731,0.07670205759190465,0.6879308753950832,1.7774976437510208,0.4021314554172524,0.0011002650038448923,0.019857590392474974,0.0014441083813649938,-0.8376412933247898,0.21297386928948658,0.029647185712772726,1.0736538441194563e-14,2.187302275452262,-8.22505080001439,0.001282051872019047,-0.8374169237820523,0.0011496599531632822,0.5963597463411637,0.19378640551105253,0.08673894387536625,2.281607339449438e-13,1.719621283114303,7.751872115192659,0.0009437167945575546,0.5961033492833476,0.046180903752245046,0.011788284494398622,1.3525541672474066,1.4403431461886453,0.0005340485861800954,0.7529977140833881,0.318010109641926,0.20658943355496437,1.109043899809355e-64,1.2640870173971148,18.75068628660687,0.00038318141286477266,0.7529977086699389,0.0007436770100700376,-0.3881648884395835,0.021092844593510796,0.14204150122472073,6.125352453927088e-05,1.4697688198920307,-4.030718771041411,0.0005726471785824906,-0.38127047492218025,0.0006093120651817993,-0.6953562713974328,0.09022021206785369,0.21230377674317122,3.1537388467436826e-17,1.2483134340349542,-8.647079516662636,0.0004344465620795506,-0.695234139681974,0.0006672886364622501,0.288846566023614,0.02405930675430379,0.18745240247961656,1.8378420600313325e-05,1.3193506533282073,4.311372171664735,0.00048891649730489,0.2849716520505853,0.34406497887469933,0.01404714593544009,1.430236706676814,1.3421260025387431,0.0005848143726441481,0.7520684877519088,0.29760533269727385,0.04411122967531664,1.3000549914632494e-98,2.015055458004616,23.087136580612416,0.0005068510084015336,0.7520684876811727,0.0007389687295193594,-0.4450514012203822,0.02719276696160755,0.030723763213627697,3.909119679322174e-09,2.1630687005811113,-5.9299854187070915,0.0006540081902433912,-0.44386822283401334,0.0007903677762876905,-0.613635486188402,0.06681578873605254,0.018227510953345277,1.1075664384939513e-20,2.3640521518881576,-9.490654841469858,0.0007160428613181564,-0.6135891231980767,0.0007155423225686474,0.3648887154929361,0.03426392950161605,0.03578576351642095,3.5590765555467775e-11,2.1016116346778344,6.680818574039296,0.0006280606676238416,0.3644308712144581,0.6377678840860643,0.012276492364941247,1.4774837014090048,1.358087645042898
